Title,Organization,Course_rating,Course_level,Course_certificate,Course_duration,Students_ratings,Web,Course_clases,Course_actual_price,Course_original_price,Course_price,Course_students_enrolled,Course_description
Entrepreneurship,University of Pennsylvania,4.8, Beginner , Specialization , 3-6 Months,"5,2k reseñas",Coursera,,,,,,
What is Data Science?,IBM Skills Network,4.7, Beginner , Course , 1-4 Weeks,"61,6k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,4.6, Intermediate , Professional Certificate , 3-6 Months,25k reseñas,Coursera,,,,,,
Data Science: Foundations using R,Johns Hopkins University,4.6, Beginner , Specialization , 3-6 Months,"47,3k reseñas",Coursera,,,,,,
Gestión de Proyectos de Google,Google,4.9, Beginner , Professional Certificate , 3-6 Months,"3,4k reseñas",Coursera,,,,,,
Reinforcement Learning,University of Alberta,4.7, Intermediate , Specialization , 3-6 Months,"3,1k reseñas",Coursera,,,,,,
Data Visualization with Tableau,"University of California, Davis",4.5, Beginner , Specialization , 3-6 Months,"7,3k reseñas",Coursera,,,,,,
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,4.7, Mixed , Course , 1-3 Months,"15,1k reseñas",Coursera,,,,,,
OKR Certification: Leadership and Goal Setting,Measure What Matters,4.9, Beginner , Course , 1-4 Weeks,143 reseñas,Coursera,,,,,,
Human Resource Management: HR for People Managers,University of Minnesota,4.8, Beginner , Specialization , 3-6 Months,13k reseñas,Coursera,,,,,,
Project Planning: Putting It All Together,Google,4.8, Beginner , Course , 1-3 Months,"8,1k reseñas",Coursera,,,,,,
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,4.6, Beginner , Course , 1-4 Weeks,"13,3k reseñas",Coursera,,,,,,
Digital Marketing,University of Illinois at Urbana-Champaign,4.7, Beginner , Specialization , 3-6 Months,22k reseñas,Coursera,,,,,,
AI For Business,University of Pennsylvania,4.7, Beginner , Specialization , 3-6 Months,141 reseñas,Coursera,,,,,,
Construction Management,Columbia University,4.7, Beginner , Specialization , 3-6 Months,"7,4k reseñas",Coursera,,,,,,
Process Data from Dirty to Clean,Google,4.8, Beginner , Course , 1-3 Months,"10,2k reseñas",Coursera,,,,,,
Introduction to Statistics,Stanford University,4.6, Beginner , Course , 1-3 Months,2k reseñas,Coursera,,,,,,
Arizona State University TESOL,Arizona State University,4.9, Beginner , Professional Certificate , 3-6 Months,"16,6k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,4.7, Intermediate , Professional Certificate , 3-6 Months,57k reseñas,Coursera,,,,,,
Data Analysis and Presentation Skills: the PwC Approach,PwC,4.6, Beginner , Specialization , 3-6 Months,"10,3k reseñas",Coursera,,,,,,
IBM Machine Learning,IBM Skills Network,4.6, Intermediate , Professional Certificate , 3-6 Months,"1,4k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,4.7, Intermediate , Professional Certificate , 3-6 Months,"56,7k reseñas",Coursera,,,,,,
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,4.6, Beginner , Specialization , 3-6 Months,"3,3k reseñas",Coursera,,,,,,
Overcoming Dyslexia,Yale University,4.7, Beginner , Course , 1-3 Months,115 reseñas,Coursera,,,,,,
Crash Course on Python,Google,4.8, Beginner , Course , 1-3 Months,"29,8k reseñas",Coursera,,,,,,
Modern and Contemporary Art and Design,The Museum of Modern Art,4.8, Beginner , Specialization , 3-6 Months,"13,8k reseñas",Coursera,,,,,,
Data Structures and Algorithms,University of California San Diego,4.6, Intermediate , Specialization , 3-6 Months,"15,8k reseñas",Coursera,,,,,,
Certified in Cybersecurity,(ISC)²,4.8, Beginner , Specialization , 3-6 Months,87 reseñas,Coursera,,,,,,
Supply Chain Management,Rutgers the State University of New Jersey,4.7, Beginner , Specialization , 3-6 Months,13k reseñas,Coursera,,,,,,
Salesforce Sales Operations,Salesforce,4.6, Beginner , Professional Certificate , 3-6 Months,737 reseñas,Coursera,,,,,,
Regulatory Compliance,University of Pennsylvania,4.8, Intermediate , Specialization , 3-6 Months,"1,9k reseñas",Coursera,,,,,,
Architecting with Google Compute Engine,Google Cloud,4.7, Intermediate , Specialization , 3-6 Months,"55,9k reseñas",Coursera,,,,,,
Generative Adversarial Networks (GANs),DeepLearning.AI,4.7, Intermediate , Specialization , 1-3 Months,2k reseñas,Coursera,,,,,,
Business Strategy,University of Virginia,4.8, Beginner , Specialization , 3-6 Months,"3,8k reseñas",Coursera,,,,,,
Microsoft 365 Fundamentals,Microsoft,4.7, Beginner , Specialization , 3-6 Months,"1,4k reseñas",Coursera,,,,,,
Attract and Engage Customers with Digital Marketing,Google,4.8, Beginner , Course , 1-4 Weeks,"2,3k reseñas",Coursera,,,,,,
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,4.7, Intermediate , Specialization , 1-3 Months,"3,1k reseñas",Coursera,,,,,,
Career Success,"University of California, Irvine",4.5, Beginner , Specialization , 3-6 Months,"39,2k reseñas",Coursera,,,,,,
UI / UX Design,California Institute of the Arts,4.7, Beginner , Specialization , 3-6 Months,"6,8k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud,4.7, Beginner , Professional Certificate , 3-6 Months,52k reseñas,Coursera,,,,,,
Diseño de Experiencia del Usuario (UX) de Google,Google,4.8, Beginner , Professional Certificate , 3-6 Months,"1,7k reseñas",Coursera,,,,,,
Geographic Information Systems (GIS),"University of California, Davis",4.8, Beginner , Specialization , 3-6 Months,"5,9k reseñas",Coursera,,,,,,
Psychological First Aid,Johns Hopkins University,4.8, Mixed , Course , 1-3 Months,18k reseñas,Coursera,,,,,,
IBM Introduction to Machine Learning,IBM Skills Network,4.6, Intermediate , Specialization , 3-6 Months,"1,4k reseñas",Coursera,,,,,,
Private Equity and Venture Capital,Università Bocconi,4.8, Mixed , Course , 1-3 Months,"7,4k reseñas",Coursera,,,,,,
Python 3 Programming,University of Michigan,4.7, Beginner , Specialization , 3-6 Months,"20,3k reseñas",Coursera,,,,,,
Fundamentals of Project Planning and Management,University of Virginia,4.7, Beginner , Course , 1-4 Weeks,"8,2k reseñas",Coursera,,,,,,
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,4.9, Beginner , Course , 1-4 Weeks,874 reseñas,Coursera,,,,,,
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,4.9, Beginner , Specialization , 3-6 Months,"15,5k reseñas",Coursera,,,,,,
Applied Data Science with Python,University of Michigan,4.5, Intermediate , Specialization , 3-6 Months,33k reseñas,Coursera,,,,,,
UCI Project Management,"University of California, Irvine",4.7, Beginner , Professional Certificate , 3-6 Months,275 reseñas,Coursera,,,,,,
Stanford Introduction to Food and Health,Stanford University,4.7, Beginner , Course , 1-3 Months,"28,5k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Developer,Google Cloud,4.7, Intermediate , Professional Certificate , 3-6 Months,"50,4k reseñas",Coursera,,,,,,
How to Manage a Remote Team,GitLab,4.8, Intermediate , Course , 1-3 Months,810 reseñas,Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,4.6, Intermediate , Professional Certificate , 3-6 Months,"17,7k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,4.7, Intermediate , Professional Certificate , 3-6 Months,"47,9k reseñas",Coursera,,,,,,
Project Management & Other Tools for Career Development,"University of California, Irvine",4.6, Beginner , Specialization , 3-6 Months,"33,4k reseñas",Coursera,,,,,,
Mathematics for Machine Learning,Imperial College London,4.6, Beginner , Specialization , 3-6 Months,"13,5k reseñas",Coursera,,,,,,
Practical Data Science on the AWS Cloud,"DeepLearning.AI, Amazon Web Services",4.6, Advanced , Specialization , 1-3 Months,443 reseñas,Coursera,,,,,,
Introduction to Data Analytics,IBM Skills Network,4.8, Beginner , Course , 1-3 Months,"10,5k reseñas",Coursera,,,,,,
Project Management Principles and Practices,"University of California, Irvine",4.7, Beginner , Specialization , 3-6 Months,28k reseñas,Coursera,,,,,,
Meta Marketing Analytics,Meta,4.7, Beginner , Professional Certificate , 3-6 Months,"1,6k reseñas",Coursera,,,,,,
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,4.6, Intermediate , Specialization , 3-6 Months,"17,4k reseñas",Coursera,,,,,,
Methods and Statistics in Social Sciences,University of Amsterdam,4.6, Beginner , Specialization , 3-6 Months,"7,1k reseñas",Coursera,,,,,,
Algorithms,Stanford University,4.8, Intermediate , Specialization , 3-6 Months,"5,6k reseñas",Coursera,,,,,,
Microsoft Azure Data Engineering Associate (DP-203),Microsoft,4.3, Intermediate , Professional Certificate , 3-6 Months,531 reseñas,Coursera,,,,,,
Operating Systems and You: Becoming a Power User,Google,4.7, Beginner , Course , 1-3 Months,"24,6k reseñas",Coursera,,,,,,
Software Product Management,University of Alberta,4.7, Beginner , Specialization , 3-6 Months,11k reseñas,Coursera,,,,,,
Architecting with Google Kubernetes Engine,Google Cloud,4.7, Beginner , Specialization , 3-6 Months,48k reseñas,Coursera,,,,,,
The DIY Musician,Berklee,4.7, Beginner , Specialization , 3-6 Months,"3,3k reseñas",Coursera,,,,,,
Algorithms for Battery Management Systems,University of Colorado Boulder,4.7, Intermediate , Specialization , 3-6 Months,"2,2k reseñas",Coursera,,,,,,
Agile Project Management,Google,4.8, Beginner , Course , 1-4 Weeks,"7,9k reseñas",Coursera,,,,,,
"Influencing: Storytelling, Change Management and Governance",Macquarie University,4.8, Beginner , Specialization , 3-6 Months,"3,2k reseñas",Coursera,,,,,,
Achieving Personal and Professional Success,University of Pennsylvania,4.7, Beginner , Specialization , 3-6 Months,"2,9k reseñas",Coursera,,,,,,
Developing Applications with Google Cloud,Google Cloud,4.7, Intermediate , Specialization , 3-6 Months,"47,5k reseñas",Coursera,,,,,,
Security in Google Cloud,Google Cloud,4.7, Intermediate , Specialization , 3-6 Months,"47,3k reseñas",Coursera,,,,,,
Tools for Data Science,IBM Skills Network,4.5, Beginner , Course , 1-4 Weeks,"25,9k reseñas",Coursera,,,,,,
Music Production,Berklee,4.8, Beginner , Specialization , 3-6 Months,"2,7k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,4.7, Intermediate , Professional Certificate , 3-6 Months,"47,4k reseñas",Coursera,,,,,,
Networking in Google Cloud,Google Cloud,4.7, Intermediate , Specialization , 3-6 Months,"47,4k reseñas",Coursera,,,,,,
Analyze Data to Answer Questions,Google,4.6, Beginner , Course , 1-4 Weeks,"7,5k reseñas",Coursera,,,,,,
AI Product Management,Duke University,4.7, Beginner , Specialization , 3-6 Months,177 reseñas,Coursera,,,,,,
TensorFlow: Advanced Techniques,DeepLearning.AI,4.8, Intermediate , Specialization , 3-6 Months,"1,2k reseñas",Coursera,,,,,,
The Business of Health Care,University of Pennsylvania,4.6, Beginner , Specialization , 3-6 Months,"1,6k reseñas",Coursera,,,,,,
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,4.8, Beginner , Specialization , 3-6 Months,"8,3k reseñas",Coursera,,,,,,
Google Cloud Database Engineer,Google Cloud,4.7, Intermediate , Specialization , 3-6 Months,"46,9k reseñas",Coursera,,,,,,
Successful Negotiation: Essential Strategies and Skills,University of Michigan,4.8, Mixed , Course , 1-3 Months,"17,9k reseñas",Coursera,,,,,,
Programming for Everybody (Getting Started with Python),University of Michigan,4.8, Mixed , Course , 1-3 Months,"219,7k reseñas",Coursera,,,,,,
Global Procurement and Sourcing,Rutgers the State University of New Jersey,4.7, Beginner , Specialization , 3-6 Months,"1,6k reseñas",Coursera,,,,,,
Bookkeeping Basics,Intuit,4.6, Beginner , Course , 1-4 Weeks,3k reseñas,Coursera,,,,,,
"NoSQL, Big Data, and Spark Foundations",IBM Skills Network,4.3, Beginner , Specialization , 3-6 Months,325 reseñas,Coursera,,,,,,
"Python for Data Science, AI & Development",IBM Skills Network,4.6, Beginner , Course , 1-3 Months,"30,9k reseñas",Coursera,,,,,,
The Business of Music Production,Berklee,4.8, Beginner , Specialization , 3-6 Months,"4,8k reseñas",Coursera,,,,,,
AI for Medicine,DeepLearning.AI,4.7, Intermediate , Specialization , 1-3 Months,"2,1k reseñas",Coursera,,,,,,
IBM Mainframe Developer,IBM,4.7, Beginner , Professional Certificate , 3-6 Months,834 reseñas,Coursera,,,,,,
Java Programming and Software Engineering Fundamentals,Duke University,4.6, Beginner , Specialization , 3-6 Months,21k reseñas,Coursera,,,,,,
"Product Ideation, Design, and Management","University of Maryland, College Park",4.4, Beginner , Specialization , 3-6 Months,326 reseñas,Coursera,,,,,,
Project Execution: Running the Project,Google,4.8, Beginner , Course , 1-3 Months,"5,3k reseñas",Coursera,,,,,,
Mergers and Acquisitions,University of Illinois at Urbana-Champaign,4.6, Intermediate , Specialization , 3-6 Months,137 reseñas,Coursera,,,,,,
Diversity and inclusion in the workplace,ESSEC Business School,4.7, Beginner , Course , 1-4 Weeks,863 reseñas,Coursera,,,,,,
Foundations of Management,IESE Business School,4.8, Beginner , Specialization , 3-6 Months,"4,4k reseñas",Coursera,,,,,,
Financial Engineering and Risk Management,Columbia University,4.5, Intermediate , Specialization , 3-6 Months,131 reseñas,Coursera,,,,,,
Six Sigma Yellow Belt,University System of Georgia,4.6, Beginner , Specialization , 3-6 Months,"8,4k reseñas",Coursera,,,,,,
Entrepreneurship: Growing Your Business,University of Virginia,4.8, Beginner , Specialization , 3-6 Months,"6,9k reseñas",Coursera,,,,,,
MATLAB Programming for Engineers and Scientists,Vanderbilt University,4.8, Beginner , Specialization , 3-6 Months,"17,1k reseñas",Coursera,,,,,,
Think like a CFO,IESE Business School,4.8, Beginner , Specialization , 3-6 Months,"5,6k reseñas",Coursera,,,,,,
Decentralized Finance (DeFi): The Future of Finance,Duke University,4.8, Intermediate , Specialization , 3-6 Months,"1,5k reseñas",Coursera,,,,,,
Risk Management,New York Institute of Finance,4.6, Beginner , Specialization , 3-6 Months,380 reseñas,Coursera,,,,,,
Microsoft Azure Fundamentals AZ-900 Exam Prep,Microsoft,4.6, Beginner , Specialization , 3-6 Months,"1,9k reseñas",Coursera,,,,,,
The Singer Songwriter,Berklee,4.8, Beginner , Specialization , 3-6 Months,"4,1k reseñas",Coursera,,,,,,
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,4.7, Beginner , Specialization , 3-6 Months,404 reseñas,Coursera,,,,,,
Business Data Management and Communication,University of Illinois at Urbana-Champaign,4.7, Intermediate , Specialization , 3-6 Months,"5,6k reseñas",Coursera,,,,,,
SQL for Data Science,"University of California, Davis",4.6, Beginner , Course , 1-4 Weeks,"14,5k reseñas",Coursera,,,,,,
Real-World Product Management,Advancing Women in Tech,4.5, Beginner , Specialization , 3-6 Months,698 reseñas,Coursera,,,,,,
Excel Skills for Data Analytics and Visualization,Macquarie University,4.8, Intermediate , Specialization , 3-6 Months,4k reseñas,Coursera,,,,,,
The Art of Sales: Mastering the Selling Process,Northwestern University,4.7, Beginner , Specialization , 3-6 Months,"1,3k reseñas",Coursera,,,,,,
Share Data Through the Art of Visualization,Google,4.6, Beginner , Course , 1-4 Weeks,6k reseñas,Coursera,,,,,,
Agile with Atlassian Jira,Atlassian,4.7, Beginner , Course , 1-4 Weeks,"7,7k reseñas",Coursera,,,,,,
Agile Development,University of Virginia,4.7, Beginner , Specialization , 3-6 Months,"4,4k reseñas",Coursera,,,,,,
Build Wireframes and Low-Fidelity Prototypes,Google,4.9, Beginner , Course , 1-4 Weeks,6k reseñas,Coursera,,,,,,
