,course_title,course_organization,course_price,course_students_enrolled,course_description,course_Certificate_type,course_difficulty,course_rating
88,Diseño y decoración de cocinas,Un curso de Sofía Saraví O'Keefe,"16,99€",545,"Aprende a diseñar y ejecutar la cocina de tus sueños, trabajando la distribución, los estilos y los materiales que mejor se adapten a ti",,,
89,La ciencia de la escritura: narra lo que te apasiona,Un curso de Julieta García González,"19,99€",461,"Aprende a crear contenido que exprese con palabras los fenómenos que te apasionan mediante herramientas de la literatura, la investigación y la divulgación",,,
90,Introducción a los NFTs: creación y marketplaces,Un curso de Marian Pedroza,"16,99€",2050,"Descubre el mercado de los NFTs, aprende a comercializar tus obras digitales y a crear estrategias de venta para impulsar tu trabajo",,,
91,Retrato ambiental: fotografía a tus modelos en su entorno,Un curso de Liz Seabrook,"17,99€",484,"Aprende un método intuitivo para planificar, capturar y editar retratos naturales que cuenten la historia y las pasiones de tu modelo",,,
92,Bitácora de viaje con encuadernación francesa,Un curso de Infinitos Lugares,"17,99€",540,Crea cuadernos de viaje personalizados desde cero utilizando técnicas de collage y encuadernación francesa,,,
93,Ilustración naturalista con gouache y acuarela,Un curso de Georgina Taylor,"17,99€",2521,"Juega con la textura, las sombras, los trazos y las capas para dar vida a ilustraciones de gouache y acuarela inspiradas en la naturaleza",,,
94,Infografías creativas: combina el arte con los datos,Un curso de Thales Molina,"16,99€",698,Explora de principio a fin las posibilidades creativas de la infografía y aprende a desarrollar narrativas visuales llamativas,,,
95,El poder del networking: crea oportunidades profesionales,Un curso de Isabel Sachs,"16,99€",305,Aprende a crear una red estratégica y colaborativa de contactos basada en tus objetivos de carrera para impulsar tu crecimiento como profesional,,,
96,Escenas realistas de naturaleza en Cinema 4D y OctaneRender,Un curso de Fabian Oberhammer,"16,99€",129,Aprende a evocar la belleza y la complejidad de la naturaleza creando escenas realistas a partir de las bibliotecas de Cinema 4D y OctaneRender,,,
97,Dibujo arquitectónico urbano con tinta,Un curso de Dan Hogman,"17,99€",1007,"Aprende el arte del urban sketching y dibuja como un arquitecto mediante técnicas de ilustración observacional que exploren perspectiva, escala y composición",,,
98,Programación creativa: arte inmersivo con openFrameworks,Un curso de Paul Ferragut,"16,99€",1514,Aprende las bases del lenguaje de programación C++ y escribe código de manera creativa para animar bucles y formas para instalaciones artísticas inmersivas,,,
99,Canva de 0 a 100: crea diseños de forma profesional,Un curso de Clàudia Cánovas,"16,99€",4755,Aprende de forma detallada cómo funciona Canva mientras practicas diseñando tu propia guía de estilo y una página web completa,,,
100,Bisutería floral con arcilla polimérica para principiantes,Un curso de Mallory Smith,"17,99€",774,Descubre varias técnicas de bisutería para crear a mano una línea de accesorios original y decorarla con motivos florales únicos,,,
101,Arte con resina: diseña espejos únicos,Un curso de Jann Yescas,"17,99€",630,Aprende a intervenir espejos con resina y elabora piezas irrepetibles que reflejen tu estilo,,,
102,Fotografía narrativa con modelos y escenarios,Un curso de Samuka Marinho,"14,99€",68,"Aprende a contar historias jugando con la luz, el atrezo y los modelos en tu sesión de fotos para desarrollar una narrativa inspiradora",,,
103,Escritura de cuentos y novelas: del origen de la historia al libro,Un curso de Abril Posas,"16,99€",265,Aprende los elementos clave para trazar un mapa de tu relato desde su origen y darle forma de cuento o novela,,,
104,Introducción al diseño arquitectónico de espacios residenciales,Un curso de Cristina Grappin,"16,99€",521,Aprende a diseñar casas paso a paso generando una propuesta conceptual funcional y estética,,,
105,Previsión estratégica: planifica el éxito de tu marca,Un curso de Rich Radka,"17,99€",748,"Aprende a anticiparte al mercado, la tecnología y las tendencias, y crea una estrategia de éxito a largo plazo para el producto o servicio de una marca",,,
106,Visualización de datos creativa para principiantes,Un curso de Gabrielle Merite,"16,99€",713,Aprende a desarrollar narrativas combinando ilustración digital y técnicas de collage para diseñar imágenes informativas y cautivadoras,,,
107,Pintura de paisajes realistas con acuarela,Un curso de Richard Thorn,"17,99€",2930,"Explora el trazo, el color, la composición y el tono para ilustrar paisajes llamativos que plasmen los detalles y el ambiente del mundo natural",,,
108,Cinematografía con smartphone desde cero,Un curso de Pete Majarich,"16,99€",861,"Aprende a planificar, grabar y editar películas inspiradoras que cuenten una historia utilizando tan solo tu smartphone",,,
109,Bordado y pintura textil para principiantes,Un curso de Polina Oshu,"17,99€",1322,Aprende a pintar con marcadores de colores e hilos de bordado para crear prendas y decoraciones que expresen tu personalidad,,,
110,"Fotografía minimalista: forma, escala y composición",Un curso de George Kroustallis,"17,99€",319,"Aprende a producir imágenes únicas y potentes que combinen la arquitectura con la figura humana, desde el concepto hasta la posproducción",,,
111,Introducción al Foley: diseña y realiza efectos sonoros,Un curso de Manuel José Gordillo,"16,99€",245,Aprende a desarrollar tu sensibilidad por los sonidos que te rodean y descubre cómo contar mejor una historia audiovisual con Foley,,,
112,Murales de lettering en pizarra,Un curso de Cristina Pagnoncelli,"14,99€",276,"Aprende a expresarte con el arte de chalk lettering y crea frases y decoraciones para murales, paredes y letreros",,,
113,Técnicas creativas para ilustración de portadas,Un curso de Julia Breckenreid,"14,99€",186,"Aprende a dibujar, pintar y retocar ilustraciones originales repletas de metáforas visuales, desde el boceto inicial hasta la edición final",,,
114,Impresión en risografía desde cero,Un curso de RISOTTO Studio,"14,99€",829,"Aprende a usar el color, la composición, los patrones y las plantillas para crear piezas vivas mediante técnicas de impresión en risografía",,,
115,Sketching para arquitectura: imagina con papel y pluma,Un curso de Saleh Alenzave,"15,99€",1261,Aprende métodos conceptuales de sketching para diseñar edificios con tan solo un cuaderno y una pluma,,,
116,Ilustración de personajes fantásticos de estilo cartoon,Un curso de Samantha Martínez,"15,99€",301,"Aprende a desarrollar personajes de fantasía que transmitan un mensaje con un gesto, una pose y un escenario únicos",,,
117,Visualización de datos para diseños creativos y narrativos,Un curso de Federica Fragapane,"14,99€",1448,Aprovecha la expresividad de las formas para convertir datos importantes en infografías reveladoras que cuenten una historia y conecten con el público,,,
118,Fotografía artística para portadas editoriales,Un curso de Party of One Studio,"14,99€",52,"Aprende a combinar fotografía e ilustración y crea composiciones editoriales dinámicas a través del diseño del set, la elección de los accesorios y la tipografía",,,
119,Storytelling para escribir discursos motivadores,Un curso de Adebola Rayo,"14,99€",305,"Aprende a redactar y dar discursos explorando las bases del storytelling y usa tus palabras para conectar con tu audiencia, inspirarla y motivarla",,,
120,Ilustración vectorial para composiciones impactantes,Un curso de Erikas Chesonis,"14,99€",1086,"Crea imágenes vectoriales sencillas y transfórmalas en composiciones armoniosas con un estilo artístico propio explorando tipografías, colores y texturas",,,
121,Introducción al tallado en madera con cuchillo,Un curso de Bernat Mercader (Wood Bern Carvings),"15,99€",1243,"Aprende los fundamentos del chip carving para crear motivos orgánicos y geométricos desde cero, partiendo del diseño inicial hasta la pieza acabada",,,
122,Artbook de moda: crea figurines en Adobe Illustrator,Un curso de Mila Moura,"15,99€",1404,Aprende a elaborar figurines digitales que representen tu estética visual e inicia tu propio proyecto de moda.,,,
123,Fotografía de retrato en grupo para principiantes,Un curso de Nolwen Cifuentes,"14,99€",140,"Aprende a tomar fotografías de grupo llamativas y capta la energía de cada persona jugando con el estilo, la iluminación, la composición, el movimiento y el color",,,
124,Introducción a Notion para proyectos creativos,Un curso de Frances Odera Matthews,"15,99€",1455,Aprende a combinar las potentes herramientas no-code de Notion con design thinking para crear páginas funcionales con estilo y personalidad,,,
125,Diseño de tipografía para brand storytelling,Un curso de Ellen Lupton,"14,99€",911,"Aprende a desarrollar tipografías fuertes que expresen la voz y personalidad de una marca con la ayuda de colores, texturas, palabras e imágenes",,,
126,"Retratos realistas a lápiz: luz, sombra y proporción",Un curso de Juan Perednik,"14,99€",713,Aprende a dibujar retratos expresivos a partir de las bases de la iluminación y de las proporciones de cualquier rostro,,,
127,Estilismo de mesa: combina vajillas de forma única,Un curso de Camila Gómez,"14,99€",782,"Descubre el arte de armar la mesa y aprende a crear montajes de vajillas increíbles, desde la estética más clásica hasta combinaciones sorprendentes y atípicas",,,
128,Diseño de personajes y ambientes con Cinema 4D y Octane,Un curso de Horacio Camacho,"14,99€",119,Aprende a crear ilustraciones 3D que cuenten historias y transmitan sentimientos con un look estilizado usando Cinema 4D y Octane Render,,,
129,Lettering manual de citas inspiradoras para principiantes,Un curso de Nico Ng,"14,99€",525,"Convierte tu mensaje en una obra de arte paso a paso mediante el estudio de los tipos de lettering, la composición el color y otros detalles decorativos",,,
130,Ilustración de animales con carboncillo y tinta,Un curso de Laura McKendry,"14,99€",4437,"Aprende a estampar, dibujar y pintar ilustraciones cautivadoras y llenas de expresión aprovechando la sencillez de la tinta y el carboncillo",,,
131,Transiciones animadas con ilustración 2D y After Effects,Un curso de Yukai Du,"14,99€",1195,"Crea transiciones animadas orgánicas y fluidas desde cero jugando con colores, formas, texturas, patrones y tiempos mediante técnicas analógicas y digitales",,,
132,Mosaicos contemporáneos: crea motivos florales con teselas,Un curso de Briony Machin,"15,99€",1187,"Descubre el proceso meditativo del mosaico y aprende a dar una nueva vida a fragmentos de piedra, cristal o cerámica transformándolos en motivos originales.",,,
133,Diseño de feed de Instagram con Canva,Un curso de Isabel Gil Loef,"14,99€",8071,"Aprende a diseñar plantillas que facilitarán tu producción de contenido en Instagram de manera homogénea, original e impactante",,,
134,Escritura experimental para desbloquear la creatividad,Un curso de Mara Pastor,"15,99€",494,"Aprende a trabajar con asociaciones, ideas originales y la técnica de la tachadura para escribir textos y poemas únicos",,,
135,Tejido en telar circular para tapices de pared coloridos,Un curso de Jen Duffin - Nova Mercury,"14,99€",805,Aprende a crear a mano piezas decorativas llenas de textura explorando paletas cromáticas y técnicas de tejido en telar,,,
136,Introducción a la fotografía comercial de alimentos,Un curso de Karla Acosta,"14,99€",168,Aprende a fotografiar proyectos gastronómicos y crea imágenes irresistibles que abran el apetito del espectador con diferentes perspectivas e iluminación,,,
137,Diseño de tatuajes fine line: simbología y magia,Un curso de Christian Castañeda,"17,99€",462,Aprende a crear tu propio repertorio de símbolos para enriquecer tu estilo personal de tatuaje y descubre cómo conceptualizar tus ideas,,,
138,Design thinking para portadas de libros y conceptos visuales,Un curso de Catherine Casalino,"15,99€",284,Amplía tu repertorio creativo descubriendo el proceso de diseño de portadas de libros para aplicarlo a un proyecto de diseño gráfico,,,
